"shapeName","shapeISO","shapeID","shapeGroup","shapeType","pre_mean","temp_mean","tempmax","tempmin"
"Lavushimanda",NA,"96606910B97886687400536","ZMB","ADM2",1045.69589306386,21.8018038607666,28.3484005137406,15.3150522628191
"Limulunga",NA,"96606910B48739682467937","ZMB","ADM2",945.034345948781,22.9933371207207,30.3375262048585,15.6938255745674
"Livingstone",NA,"96606910B12959301642296","ZMB","ADM2",664.575347805556,23.1749924152595,30.7513495342637,15.6723262721704
"Luampa",NA,"96606910B75659295397669","ZMB","ADM2",868.43871145205,22.2444141723466,29.9619962289453,14.5674947765797
"Luangwa",NA,"96606910B48730551364911","ZMB","ADM2",472.324252728721,24.844652923036,31.4077565421461,18.3517991662963
"Luano",NA,"96606910B16035329871790","ZMB","ADM2",912.633268937422,23.0611702605176,29.7021717945388,16.4860344965587
"Luanshya",NA,"96606910B75415616642530","ZMB","ADM2",1189.86754885786,21.3235264478886,28.7968720625022,13.9065585069605
"Lufwanyama",NA,"96606910B27641216908272","ZMB","ADM2",1229.88434067106,20.8934104666995,28.7710466009498,13.0684087373673
"Lukulu",NA,"96606910B66911286782898","ZMB","ADM2",996.191166046362,22.5021284166062,30.1361154476107,14.9097901433956
"Lumezi",NA,"96606910B53587891275683","ZMB","ADM2",842.595803754965,23.1514144017441,29.779024875295,16.5889211146528
"Lundazi",NA,"96606910B63463932820005","ZMB","ADM2",721.318497968597,21.3788863979857,27.7010224706005,15.119501185399
"Lunga",NA,"96606910B4218134786212","ZMB","ADM2",1350.22395609443,21.8011522019724,27.962517381619,15.701717667543
"Lunte",NA,"96606910B27526943690880","ZMB","ADM2",1336.80276353079,21.2431818522402,27.5824991691828,14.9570621563445
"Lupososhi",NA,"96606910B11970238956391","ZMB","ADM2",1401.99497287741,21.7304459205962,28.0289750251651,15.4859562548538
"Lusaka",NA,"96606910B10621059217070","ZMB","ADM2",837.326566993691,21.8458588240031,28.4690754293718,15.3051508637267
"Lusangazi",NA,"96606910B89827390447979","ZMB","ADM2",931.378402843035,24.4923847493272,31.1489482667765,17.8878820585068
"Luwingu",NA,"96606910B28047609597150","ZMB","ADM2",1385.21179429389,21.6604932952955,28.0077290553645,15.3657123866833
"Mafinga",NA,"96606910B74743827741249","ZMB","ADM2",849.003355797873,20.87174971588,26.722044542574,15.072713909482
"Mambwe",NA,"96606910B40356469041881","ZMB","ADM2",878.215650829915,24.2483324215016,31.1296661054359,17.4282973556354
"Mansa",NA,"96606910B48291631033153","ZMB","ADM2",1210.74242901069,21.6680975874912,28.2136183448184,15.1715263179282
"Manyinga",NA,"96606910B15136159078795","ZMB","ADM2",1104.81360974488,21.8225683689216,29.5931212866073,14.0940819907425
"Masaiti",NA,"96606910B87020590647468","ZMB","ADM2",1084.02451094033,21.1951765047833,28.2202853040861,14.2281491126497
"Mazabuka",NA,"96606910B8169685936662","ZMB","ADM2",779.928232977213,22.2111768391031,29.3905344617665,15.1072035280345
"Mbala",NA,"96606910B75728228725802","ZMB","ADM2",948.533901026979,21.0790713763205,27.0770350550494,15.1310612211393
"Milengi",NA,"96606910B39507061952782","ZMB","ADM2",1182.43775273229,21.7141524956749,28.3211556074408,15.1696868716238
"Mitete",NA,"96606910B13624449135340","ZMB","ADM2",1016.17156615131,22.8248888208047,30.4170054006626,15.2751574309598
"Mkushi",NA,"96606910B76461295717926","ZMB","ADM2",889.802248242926,21.1589793690415,27.8036800916451,14.5789354770556
"Mongu",NA,"96606910B8342530541372","ZMB","ADM2",890.552995473348,22.9818992616937,30.3644710883157,15.6411746682676
"Monze",NA,"96606910B87508974482320","ZMB","ADM2",794.818099377753,21.9642253244118,29.2426996917694,14.7676698278084
"Mpika",NA,"96606910B87532559916375","ZMB","ADM2",960.458629086172,22.4573682547771,29.023020614136,15.9505277394489
"Mpongwe",NA,"96606910B43712843056023","ZMB","ADM2",1119.14278043547,21.3662652784814,28.809996234847,13.9735126716353
"Mporokoso",NA,"96606910B5671768599011","ZMB","ADM2",1298.28861970242,22.1374443985968,28.3466706301412,15.9797851073339
"Mpulungu",NA,"96606910B10449137451116","ZMB","ADM2",1240.83158583383,22.0718011490901,28.114346316325,16.0809172710197
"Mufulira",NA,"96606910B37180348733704","ZMB","ADM2",919.979857090452,20.9003476202488,28.7607643074459,13.115278042025
"Mufumbwe",NA,"96606910B54849868159577","ZMB","ADM2",1058.61617363402,21.8856056888742,29.6260186173159,14.1815329783832
"Mulobezi",NA,"96606910B3196683578902","ZMB","ADM2",783.377328938604,22.7923356067917,30.5197967698685,15.1311957463627
"Mumbwa",NA,"96606910B37920738728221","ZMB","ADM2",908.974105817735,21.9090003513913,29.3711227887718,14.5113875160256
"Mungwi",NA,"96606910B23171864038647","ZMB","ADM2",1138.14375234124,21.6129973693703,28.0658615777864,15.2108708852022
"Mushindano",NA,"96606910B46264133370016","ZMB","ADM2",1038.45901304534,20.6286472464172,28.4689868339894,12.8439004134398
"Mwandi",NA,"96606910B67741623521388","ZMB","ADM2",705.024924836603,23.242485898629,31.0665079094171,15.4965316667675
"Mwansabombwe",NA,"96606910B97208010005617","ZMB","ADM2",1215.88087332727,23.1507150555152,29.784482921335,16.5729723507749
"Mwense",NA,"96606910B65361757033996","ZMB","ADM2",1188.83570507693,22.370205425428,29.1330800067857,15.6580626385284
"Mwinilunga",NA,"96606910B26185337086625","ZMB","ADM2",1229.56907892134,20.7987575905467,28.2157768184503,13.4476791062907
"Nakonde",NA,"96606910B77888556336058","ZMB","ADM2",738.93651835514,21.3450889457528,27.433327721784,15.3083005562217
"Nalolo",NA,"96606910B50694573542024","ZMB","ADM2",816.581190817397,23.2690873214967,30.6366502198434,15.9452251983957
"Namwala",NA,"96606910B54328368707661","ZMB","ADM2",774.731331049121,22.1762213018032,29.6823129596793,14.7440480219275
"Nchelenge",NA,"96606910B37258058096160","ZMB","ADM2",1167.63059469749,23.5945497600299,30.0692739509797,17.1724762371729
"Ndola",NA,"96606910B76631115886164","ZMB","ADM2",824.063804139471,21.0288803173583,28.4229096507096,13.6995333245241
"Ngabwe",NA,"96606910B70902538429016","ZMB","ADM2",1038.43487365859,21.6466506981482,29.0024144615569,14.3484032769069
"Nkeyema",NA,"96606910B42234900410364","ZMB","ADM2",920.077761894946,21.9635176779983,29.7480159414029,14.2258970973094
"Nsama",NA,"96606910B46360514720663","ZMB","ADM2",1264.92551109194,23.046986861877,29.137148966271,17.0070018204733
"Nyimba",NA,"96606910B94036775861358","ZMB","ADM2",915.244566563954,24.5978280800993,31.1195588129692,18.1408158060354
"Pemba",NA,"96606910B89551378676560","ZMB","ADM2",807.729771678383,21.820430225626,28.8747629885826,14.8442429667326
"Petauke",NA,"96606910B40532044353326","ZMB","ADM2",704.137219758402,23.73383534522,29.9085608563811,17.6212959571165
